"Age","ChildrenNumber","CountryCitizen","EmploymentField","EmploymentStatus","ExpectedEarning","Gender","Income","JobPref","JobRoleInterest","LanguageAtHome","MaritalStatus","SchoolDegree","StudentDebtOwe"
28,NA,"United States of America","office and administrative support","Employed for wages",NA,"male",32000,"freelance",NA,"English","married or domestic partnership","some college credit, no degree",20000
22,NA,"United States of America","food and beverage","Employed for wages",50000,"male",15000,"work for a startup","Front-End Web Developer","English",NA,"some college credit, no degree",NA
19,NA,"United States of America","finance","Employed for wages",NA,"male",48000,"start your own business",NA,"English",NA,"high school diploma or equivalent (GED)",NA
26,NA,"United States of America","arts, entertainment, sports, or media","Employed for wages",65000,"female",43000,"work for a startup","Front-End Web Developer","English",NA,"bachelor's degree",7000
20,NA,"United States of America","education","Employed for wages",45000,"female",6000,"work for a medium-sized company","Full-Stack Web Developer","Khmer",NA,"some college credit, no degree",NA
34,NA,"United States of America","finance","Self-employed freelancer",NA,"male",40000,"start your own business",NA,"English",NA,"bachelor's degree",NA
23,NA,"Singapore","software development","Employed for wages",NA,"male",32000,NA,NA,"Mandarin Chinese",NA,"bachelor's degree",NA
35,NA,"India","office and administrative support","Employed for wages",NA,"male",40000,"freelance",NA,"Telugu","married or domestic partnership","master's degree (non-professional)",NA
33,NA,"United States of America","software development","Employed for wages",NA,"male",80000,NA,NA,"English",NA,"bachelor's degree",NA
33,NA,"United States of America",NA,"Employed for wages",NA,"male",80000,"start your own business",NA,"English",NA,"master's degree (non-professional)",180000
57,NA,"United States of America",NA,"Self-employed business owner",NA,"male",20000,"freelance",NA,"English","married or domestic partnership","bachelor's degree",NA
23,NA,"Bangladesh",NA,"Not working and not looking for work",NA,"male",NA,"start your own business",NA,"Bengali",NA,"some college credit, no degree",NA
47,NA,"Canada","health care","Employed for wages",NA,"male",90000,"freelance",NA,"English",NA,"bachelor's degree",NA
NA,NA,"United States of America","software development","Employed for wages",NA,"male",NA,"freelance",NA,"English",NA,"bachelor's degree",12000
37,1,"Bosnia & Herzegovina","sales","Self-employed business owner",NA,"male",NA,"start your own business",NA,"Serbo-Croatian","married or domestic partnership","some college credit, no degree",NA
31,NA,"Russia","software development","Employed for wages",NA,"female",NA,NA,NA,"Russian",NA,"professional degree (MBA, MD, JD, etc.)",NA
27,NA,"United States of America","software development","Employed for wages",NA,"female",80000,NA,NA,"English",NA,"bachelor's degree",NA
29,NA,"United States of America","education","Employed for wages",NA,"male",17000,"freelance",NA,"English",NA,"bachelor's degree",NA
30,NA,"Canada","software development","Self-employed freelancer",NA,"male",16000,NA,NA,"English",NA,"bachelor's degree",NA
30,NA,"Croatia",NA,"Not working but looking for work",75000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Serbo-Croatian","single, never married","some college credit, no degree",NA
32,1,"United States of America",NA,"Employed for wages",75000,"female",2e+05,"work for a medium-sized company","Full-Stack Web Developer","English","married or domestic partnership","master's degree (non-professional)",NA
25,NA,"India",NA,"Doing an unpaid internship",NA,"female",NA,NA,NA,"Hindi",NA,"bachelor's degree",NA
29,NA,"Singapore","arts, entertainment, sports, or media","Employed for wages",NA,"female",1e+05,NA,NA,"English","single, never married","bachelor's degree",NA
44,NA,"United States of America","office and administrative support","Employed for wages",NA,"female",41000,"freelance",NA,"English","married or domestic partnership","bachelor's degree",50000
21,NA,"India",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Hindi",NA,"bachelor's degree",NA
21,NA,"United States of America",NA,"Not working but looking for work",75000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"some college credit, no degree",40000
28,NA,"South Africa",NA,"Self-employed freelancer",NA,"male",12000,"start your own business",NA,"English","single, never married","high school diploma or equivalent (GED)",NA
28,2,"United States of America","software development","Employed for wages",NA,"male",60000,NA,NA,"English","married or domestic partnership","trade, technical, or vocational training",NA
25,NA,"United States of America","software development","Employed for wages",90000,"male",75000,"work for a startup","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
35,1,"United Kingdom","software development","Employed for wages",NA,"male",35000,NA,NA,"English","married or domestic partnership","master's degree (non-professional)",NA
24,NA,"United States of America",NA,"Doing an unpaid internship",NA,"female",NA,"freelance",NA,"English",NA,"some college credit, no degree",NA
23,NA,"Venezuela",NA,"A stay-at-home parent or homemaker",20000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Spanish",NA,"some college credit, no degree",NA
34,NA,"Spain",NA,"Doing an unpaid internship",40000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Spanish",NA,"bachelor's degree",NA
18,NA,"United States of America",NA,"Employed for wages",35000,"female",6000,"work for a medium-sized company","Front-End Web Developer","English",NA,"high school diploma or equivalent (GED)",NA
33,NA,"United States of America","health care","Employed for wages",NA,"female",40000,"freelance",NA,"English",NA,"bachelor's degree",44000
28,NA,"Brazil","office and administrative support","Employed for wages",NA,"male",6500,"start your own business",NA,"Portuguese",NA,"high school diploma or equivalent (GED)",NA
33,NA,"New Zealand",NA,"Self-employed freelancer",40000,"male",60000,"work for a medium-sized company","Full-Stack Web Developer","English","married or domestic partnership","high school diploma or equivalent (GED)",NA
26,NA,"United States of America","finance","Employed for wages",NA,"male",29000,"freelance",NA,"English",NA,"some college credit, no degree",NA
24,NA,"South Africa","software development","Employed for wages",NA,"male",10000,NA,NA,"English",NA,"bachelor's degree",NA
39,NA,"United States of America","law enforcement and fire and rescue","Employed for wages",75000,"male",53000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"associate's degree",70000
24,NA,"Brazil",NA,"Not working but looking for work",40000,"male",NA,"work for a startup","Full-Stack Web Developer","Portuguese",NA,"high school diploma or equivalent (GED)",NA
34,NA,"United States of America",NA,"Not working and not looking for work",NA,"male",NA,"freelance",NA,"English",NA,"high school diploma or equivalent (GED)",NA
19,NA,"Jamaica",NA,NA,80000,"male",NA,"work for a medium-sized company","Data Scientist / Data Engineer","English",NA,"some college credit, no degree",NA
28,NA,"United States of America","education","Employed for wages",90000,"male",52000,"work for a startup","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
24,NA,"Canada",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Russian",NA,"high school diploma or equivalent (GED)",NA
41,2,"United Kingdom","office and administrative support","Employed for wages",NA,"male",17000,"freelance",NA,"English","married or domestic partnership","master's degree (non-professional)",NA
47,1,"Italy","sales","Self-employed freelancer",NA,"male",20000,"freelance",NA,"Italian","married or domestic partnership","high school diploma or equivalent (GED)",NA
22,NA,"Venezuela",NA,"Not working but looking for work",60000,"male",NA,"work for a medium-sized company","Mobile Developer","Spanish",NA,"high school diploma or equivalent (GED)",NA
20,NA,"India",NA,"Doing an unpaid internship",50000,"female",NA,"work for a multinational corporation","Full-Stack Web Developer","Hindi",NA,"high school diploma or equivalent (GED)",NA
20,NA,"United States of America","software development","Employed for wages",60000,"male",24000,"work for a startup","Full-Stack Web Developer","Spanish",NA,"high school diploma or equivalent (GED)",NA
19,NA,"Bangladesh",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Bengali",NA,"some high school",NA
25,NA,"Portugal","software development","Employed for wages",NA,"male",12000,NA,NA,"Portuguese",NA,"some college credit, no degree",NA
20,NA,"India",NA,NA,40000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Hindi",NA,"high school diploma or equivalent (GED)",20000
43,NA,"United States of America",NA,"Not working and not looking for work",NA,"male",NA,"freelance",NA,"English",NA,"some college credit, no degree",NA
33,3,"United States of America",NA,"Not working but looking for work",45000,"female",NA,"work for a medium-sized company","Full-Stack Web Developer","English","married or domestic partnership","high school diploma or equivalent (GED)",NA
35,NA,"United States of America",NA,"Not working but looking for work",50000,"female",NA,"work for a medium-sized company","Front-End Web Developer","English","single, never married","some college credit, no degree",5000
30,NA,"United States of America",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"English",NA,"bachelor's degree",NA
25,NA,"United States of America","software development","Employed for wages",NA,"female",64000,"freelance",NA,"English",NA,"bachelor's degree",NA
24,NA,"Macedonia",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"English",NA,"bachelor's degree",NA
36,3,"Cyprus","software development","Employed for wages",35000,"male",35000,"work for a medium-sized company","Quality Assurance Engineer","Greek","married or domestic partnership","some college credit, no degree",NA
30,NA,"United States of America","health care","Employed for wages",50000,"male",24000,"work for a startup","Front-End Web Developer","English",NA,"some college credit, no degree",19000
34,NA,"United States of America","education","Employed for wages",NA,"female",62500,"freelance",NA,"English",NA,"master's degree (non-professional)",75000
40,NA,"Sweden","software development","Employed for wages",NA,"male",27000,NA,NA,"Swedish","married or domestic partnership","some high school",3000
30,NA,"United States of America",NA,"A stay-at-home parent or homemaker",NA,"female",NA,"start your own business",NA,"English",NA,"professional degree (MBA, MD, JD, etc.)",110000
47,NA,"Brazil","software development","Self-employed freelancer",NA,"female",30000,NA,NA,"English",NA,"professional degree (MBA, MD, JD, etc.)",NA
24,NA,"Portugal","software development","Employed for wages",NA,"female",16500,NA,NA,"Portuguese",NA,"bachelor's degree",NA
25,NA,"United States of America","finance","Employed for wages",NA,"female",75000,"freelance",NA,"Mandarin Chinese",NA,"bachelor's degree",NA
27,NA,"United States of America","transportation","Self-employed business owner",NA,"male",NA,"freelance",NA,"English",NA,"associate's degree",NA
27,NA,"United States of America","software development","Employed for wages",NA,"female",NA,NA,NA,"English",NA,"bachelor's degree",40000
24,NA,"United States of America","architecture or physical engineering","Employed for wages",65000,"male",50000,NA,"Back-End Web Developer","English",NA,"bachelor's degree",40000
34,NA,"United States of America","education","Employed for wages",35000,"male",40000,"work for a startup","Full-Stack Web Developer","English",NA,"some college credit, no degree",27000
37,1,"United States of America","education","Employed for wages",70000,"male",56000,"work for a multinational corporation","Full-Stack Web Developer","English","married or domestic partnership","some college credit, no degree",50000
39,1,"United States of America","transportation","Employed for wages",50000,"male",35000,"work for a medium-sized company","Full-Stack Web Developer","English","married or domestic partnership","bachelor's degree",24000
36,1,"United States of America","office and administrative support","Employed for wages",NA,"male",45000,"freelance",NA,"English","married or domestic partnership","associate's degree",80000
30,2,"United States of America","software development","Employed for wages",NA,"male",50000,NA,NA,"English","married or domestic partnership","associate's degree",20000
25,NA,"United States of America",NA,"Employed for wages",80000,"female",37000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
31,NA,"United States of America","software development","Employed for wages",NA,"male",110000,NA,NA,"English","married or domestic partnership","some college credit, no degree",NA
36,1,"United States of America","arts, entertainment, sports, or media","Employed for wages",85000,"male",65000,"work for a medium-sized company","DevOps / SysAdmin","English","married or domestic partnership","master's degree (non-professional)",NA
20,NA,"United States of America","software development","Self-employed freelancer",NA,"male",16000,NA,NA,"English",NA,"some college credit, no degree",NA
32,NA,"United Kingdom",NA,"Not working and not looking for work",45000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",30000
27,NA,"United Kingdom","finance","Employed for wages",30000,"male",30000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
32,NA,"United Kingdom","office and administrative support","Employed for wages",NA,"male",23000,"freelance",NA,"English",NA,"bachelor's degree",30000
32,NA,"United States of America",NA,"Employed for wages",1e+05,"female",94000,"work for a medium-sized company","Front-End Web Developer","Yue (Cantonese) Chinese",NA,"bachelor's degree",NA
38,3,"United States of America","arts, entertainment, sports, or media","Employed for wages",NA,"male",85000,NA,NA,"English","married or domestic partnership","bachelor's degree",5000
16,NA,"United States of America",NA,NA,NA,"male",NA,"freelance",NA,"English",NA,"some high school",NA
19,NA,"Canada","software development","Employed for wages",NA,"male",10000,NA,NA,"English",NA,"high school diploma or equivalent (GED)",20000
22,NA,"Nigeria",NA,"Not working but looking for work",NA,"male",NA,NA,NA,"English",NA,"some high school",NA
